19000901;1;9;1900;5830;5.83;;
19000902;2;9;1900;4370;4.37;;
19000903;3;9;1900;4590;4.59;;
19000904;4;9;1900;5020;5.02;;
19000905;5;9;1900;3580;3.58;;
19000906;6;9;1900;2690;2.69;;
19000907;7;9;1900;1990;1.99;;
19000908;8;9;1900;1620;1.62;;
19000909;9;9;1900;1590;1.59;;
19000910;10;9;1900;1010;1.01;;
19000911;11;9;1900;791;0.79;;
19000912;12;9;1900;885;0.89;;
19000913;13;9;1900;816;0.82;;
19000914;14;9;1900;589;0.59;;
19000915;15;9;1900;460;0.46;;
19000916;16;9;1900;440;0.44;;
19000917;17;9;1900;660;0.66;;
19000918;18;9;1900;211;0.21;;
19000919;19;9;1900;91;0.09;;
19000920;20;9;1900;152;0.15;;
19000921;21;9;1900;137;0.14;;
19000922;22;9;1900;38;0.04;;
19000923;23;9;1900;64;0.06;;
19000924;24;9;1900;336;0.34;;
19000925;25;9;1900;1650;1.65;;
19000926;26;9;1900;10300;10.3;;
19000927;27;9;1900;14300;14.3;;
19000928;28;9;1900;11800;11.8;;
19000929;29;9;1900;11900;11.9;;
19000930;30;9;1900;12800;12.8;;
19001001;1;10;1900;12800;12.8;;
19001002;2;10;1900;10700;10.7;;
19001003;3;10;1900;14200;14.2;;
19001004;4;10;1900;14700;14.7;;
19001005;5;10;1900;12000;12;;
19001006;6;10;1900;9830;9.83;;
19001007;7;10;1900;8230;8.23;;
19001008;8;10;1900;6550;6.55;;
19001009;9;10;1900;4670;4.67;;
19001010;10;10;1900;3920;3.92;;
19001011;11;10;1900;4270;4.27;;
19001012;12;10;1900;3900;3.9;;
19001013;13;10;1900;3110;3.11;;
19001014;14;10;1900;3980;3.98;;
19001015;15;10;1900;4010;4.01;;
19001016;16;10;1900;2050;2.05;;
19001017;17;10;1900;1690;1.69;;
19001018;18;10;1900;2090;2.09;;
19001019;19;10;1900;1890;1.89;;
19001020;20;10;1900;1440;1.44;;
19001021;21;10;1900;1930;1.93;;
19001022;22;10;1900;2020;2.02;;
19001023;23;10;1900;1030;1.03;;
19001024;24;10;1900;875;0.88;;
19001025;25;10;1900;1160;1.16;;
19001026;26;10;1900;1110;1.11;;
19001027;27;10;1900;1680;1.68;;
19001028;28;10;1900;1830;1.83;;
19001029;29;10;1900;2590;2.59;;
19001030;30;10;1900;2720;2.72;;
19001031;31;10;1900;4300;4.3;;
19001101;1;11;1900;3580;3.58;;
19001102;2;11;1900;4390;4.39;;
19001103;3;11;1900;4550;4.55;;
19001104;4;11;1900;4210;4.21;;
19001105;5;11;1900;5140;5.14;;
19001106;6;11;1900;3950;3.95;;
19001107;7;11;1900;3110;3.11;;
19001108;8;11;1900;3590;3.59;;
19001109;9;11;1900;3670;3.67;;
19001110;10;11;1900;6450;6.45;;
19001111;11;11;1900;11200;11.2;;
19001112;12;11;1900;10500;10.5;;
19001113;13;11;1900;9600;9.6;;
19001114;14;11;1900;10100;10.1;;
19001115;15;11;1900;10500;10.5;;
19001116;16;11;1900;12600;12.6;;
19001117;17;11;1900;15000;15;;
19001118;18;11;1900;16000;16;;
19001119;19;11;1900;20900;20.9;;
19001120;20;11;1900;19000;19;;
19001121;21;11;1900;17000;17;;
19001122;22;11;1900;16600;16.6;;
19001123;23;11;1900;17700;17.7;;
19001124;24;11;1900;19600;19.6;;
19001125;25;11;1900;21000;21;;
19001126;26;11;1900;23200;23.2;;
19001127;27;11;1900;22800;22.8;;
19001128;28;11;1900;24700;24.7;;
19001129;29;11;1900;32900;32.9;;
19001130;30;11;1900;27700;27.7;;
19001201;1;12;1900;22600;22.6;;
19001202;2;12;1900;19800;19.8;;
19001203;3;12;1900;19200;19.2;;
19001204;4;12;1900;21800;21.8;;
19001205;5;12;1900;40200;40.2;;
19001206;6;12;1900;56600;56.6;;
19001207;7;12;1900;71600;71.6;;
19001208;8;12;1900;71300;71.3;;
19001209;9;12;1900;51700;51.7;;
19001210;10;12;1900;34500;34.5;;
19001211;11;12;1900;28300;28.3;;
19001212;12;12;1900;23100;23.1;;
19001213;13;12;1900;20600;20.6;;
19001214;14;12;1900;18400;18.4;;
19001215;15;12;1900;17400;17.4;;
19001216;16;12;1900;18300;18.3;;
19001217;17;12;1900;17500;17.5;;
19001218;18;12;1900;12000;12;;
19001219;19;12;1900;11100;11.1;;
19001220;20;12;1900;9050;9.05;;
19001221;21;12;1900;8820;8.82;;
19001222;22;12;1900;11900;11.9;;
19001223;23;12;1900;13600;13.6;;
19001224;24;12;1900;14500;14.5;;
19001225;25;12;1900;13700;13.7;;
19001226;26;12;1900;12300;12.3;;
19001227;27;12;1900;11900;11.9;;
19001228;28;12;1900;12800;12.8;;
19001229;29;12;1900;13600;13.6;;
19001230;30;12;1900;13100;13.1;;
19001231;31;12;1900;14500;14.5;;
19010101;1;1;1901;13700;13.7;;
19010102;2;1;1901;12100;12.1;;
19010103;3;1;1901;11600;11.6;;
19010104;4;1;1901;12200;12.2;;
19010105;5;1;1901;9110;9.11;;
19010106;6;1;1901;7470;7.47;;
19010107;7;1;1901;6190;6.19;;
19010108;8;1;1901;5620;5.62;;
19010109;9;1;1901;6130;6.13;;
19010110;10;1;1901;7300;7.3;;
19010111;11;1;1901;6550;6.55;;
19010112;12;1;1901;6460;6.46;;
19010113;13;1;1901;5320;5.32;;
19010114;14;1;1901;5890;5.89;;
19010115;15;1;1901;4780;4.78;;
19010116;16;1;1901;4320;4.32;;
19010117;17;1;1901;4150;4.15;;
19010118;18;1;1901;4040;4.04;;
19010119;19;1;1901;5000;5;;
19010120;20;1;1901;5740;5.74;;
19010121;21;1;1901;7980;7.98;;
19010122;22;1;1901;12500;12.5;;
19010123;23;1;1901;11400;11.4;;
19010124;24;1;1901;10400;10.4;;
19010125;25;1;1901;10300;10.3;;
19010126;26;1;1901;9640;9.64;;
19010127;27;1;1901;17000;17;;
19010128;28;1;1901;34700;34.7;;
19010129;29;1;1901;49600;49.6;;
19010130;30;1;1901;49400;49.4;;
19010131;31;1;1901;34400;34.4;;
19010201;1;2;1901;26700;26.7;;
19010202;2;2;1901;23200;23.2;;
19010203;3;2;1901;23300;23.3;;
19010204;4;2;1901;27600;27.6;;
19010205;5;2;1901;31700;31.7;;
